State/UT,2022 (Jan-Dec),2023 (Jan-Dec),2024 (Jan-Dec),2025 (January)
Andaman & Nicobar Islands,345,528,455,52
Andhra Pradesh,192360,212146,245174,23180
Arunachal Pradesh,2501,4409,6388,714
Assam,39919,94945,166232,20900
Bihar,141926,241827,263930,34442
Chandigarh,5365,11782,8644,754
Chhattisgarh,21365,29221,38268,5159
Delhi,6691,17874,25210,3196
Dadra Nagar Haveli And Daman Diu,4169,5921,7926,620
Goa,8057,11904,17236,1789
Gujarat,169363,278537,392837,53942
Haryana,35837,42690,60417,7787
Himachal Pradesh,15935,21096,22909,2135
Jammu And Kashmir,22110,34664,51027,4824
Jharkhand,9539,31251,43874,5344
Karnataka,163356,232715,361494,39437
Kerala,4000,71606,115046,11649
Ladakh,2165,2569,4078,373
Lakshadweep,0,0,0,0
Madhya Pradesh,66018,113499,142948,16710
Maharashtra,393020,472790,485345,56538
Manipur,4450,2964,9257,798
Meghalaya,5302,9611,17784,2466
Mizoram,891,1141,1873,179
Nagaland,452,600,714,85
Odisha,65396,92848,166792,24478
Puducherry,11937,13006,12148,894
Punjab,15519,18680,22912,2164
Rajasthan,88029,103533,140543,15062
Sikkim,3845,6636,8601,840
Tamil Nadu,364435,441796,480427,48931
Telangana,92924,119014,121997,10424
Tripura,3051,6510,9641,1266
Uttarakhand,15649,25623,23091,1790
Uttar Pradesh,191361,229921,164009,20478
West Bengal,22627,48664,76486,10264
